
m p n_1
31 577 8929
31 587 24522
31 593 28707
31 599 7224
31 601 34690
31 607 10541
31 613 27653
31 617 3101
31 619 5922
31 631 80756
31 641 28800
31 643 7906
31 647 4527
31 653 61164
31 659 36488
31 661 2078
31 673 14850
31 677 49198
31 683 26878
31 691 12029
31 701 6790
31 709 4217
31 719 6449
31 727 10789
31 733 9208
31 739 78865
31 743 20895
31 751 49539
31 757 13641
31 761 14540
31 769 16648
31 773 3752
31 787 21732
31 797 14447
31 809 42626
31 811 13858
31 821 5984
31 823 6263
31 827 23096
31 829 21236
31 839 32582
31 853 48826
31 857 25049
31 859 15966
31 863 3907
31 877 16059
31 881 98550
31 883 16090
31 887 47028
31 907 2357
31 911 103417
31 919 3597
31 929 107106
31 937 31559
31 941 3628
31 947 4682
31 953 47865
31 967 11533
31 971 42843
31 977 123536
31 983 64233
31 991 110113

m p n_1
32 37 1825
32 41 833
32 43 577
32 47 609
32 53 961
32 59 12801
32 61 705
32 67 2465
32 71 769
32 73 1121
32 79 2209
32 83 1185
32 89 11841
32 97 14881
32 101 3041
32 103 5153
32 107 2785
32 109 1985
32 113 6529
32 127 8673
32 131 14529
32 137 3329
32 139 14049
32 149 1537
32 151 11329
32 157 7425
32 163 1601
32 167 1921
32 173 5185
32 179 1665
32 181 5921
32 191 2273
32 193 5089
32 197 3809
32 199 5249
32 211 4001
32 223 20545
32 227 2849
32 229 7841
32 233 3489
32 239 9473
32 241 1889
32 251 3137
32 257 6497
32 263 3649
32 269 25729
32 271 13953
32 277 24065
32 281 14529
32 283 8385
32 293 6785
32 307 5729
32 311 4993
32 313 4161
32 317 3233
32 331 8417
32 337 11809
32 347 13185
32 349 18785
32 353 17825
32 359 24385
32 367 2625
32 373 15041
32 379 3457
32 383 13281
32 389 6209
32 397 37921
32 401 31361
32 409 6017
32 419 22081
32 421 4897
32 431 7393
32 433 17185
32 439 15713
32 443 4417
32 449 17633
32 457 8833
32 461 18177
32 463 1857
32 467 2881
32 479 16097
32 487 26113
32 491 10497
32 499 5889
32 503 5217
32 509 10177
32 521 6689
32 523 1953
32 541 30753
32 547 22273
32 557 15041
32 563 16769
32 569 13249
32 571 44417
32 577 9217
32 587 25313
32 593 29633
32 599 7457
32 601 35809
32 607 10881
32 613 28545
32 617 3201
32 619 6113
32 631 83361
32 641 29729
32 643 8161
32 647 4673
32 653 63137
32 659 37665
32 661 2145
32 673 15329
32 677 50785
32 683 27745
32 691 12417
32 701 7009
